EmployerID,company,sector,city,state,CEO,Website,Zip Code
21,AES,Energy,Arlington,VA,Andr̩s R. Gluski,https://www.aes.com,23230
22,Affiliated Managers Group,Financials,West Palm Beach,FL,Jay C. Horgen,https://www.amg.com,90245
23,Aflac,Financials,Columbus,GA,Daniel P. Amos,https://www.aflac.com,98109
24,AGCO,Industrials,Duluth,GA,Eric P. Hansotia,https://www.agcocorp.com,63103
25,Agilent Technologies,Technology,Santa Clara,CA,Michael R. McMullen,https://www.agilent.com,76155
26,Air Products & Chemicals,Chemicals,Allentown,PA,Seifi Ghasemi,https://www.airproducts.com,43215
27,Airbnb,Technology,San Francisco,CA,Brian Chesky,https://www.airbnb.com,10285
28,Akamai Technologies,Technology,Cambridge,MA,F. Thomson Leighton,https://www.akamai.com,53783
29,Alaska Air Group,Transportation,Seattle,WA,Benito Minicucci,https://www.alaskaair.com,45202
30,Albemarle,Chemicals,Charlotte,NC,J. Kent Masters,https://www.albemarle.com,10020
31,Albertsons,Food & Drug Stores,Boise,ID,Vivek Sankaran,www.albertsonscompanies.com,2116
32,Alcoa,Materials,Pittsburgh,PA,Roy C. Harvey,https://www.alcoa.com,55474
33,Alexandria Real Estate Equities,Financials,Pasadena,CA,Peter M. Moglia,https://www.are.com,19428
34,Alight,Business Services,Lincolnshire,IL,Stephan D. Scholl,https://www.alight.com,91320
35,Align Technology,Health Care,Tempe,AZ,Joseph M. Hogan,https://www.aligntech.com,6492
36,Alleghany,Financials,New York,NY,Joseph P. Brandon,https://www.alleghany.com,1887
37,Alliant Energy,Energy,Madison,WI,John O. Larsen,https://www.alliantenergy.com,43537
38,Allison Transmission Holdings,Motor Vehicles & Parts,Indianapolis,IN,David S. Graziosi,https://www.allisontransmission.com,46204
39,Allstate,Financials,Northbrook,IL,Thomas J. Wilson,www.allstate.com,77056
40,Ally Financial,Financials,Detroit,MI,Jeffrey J. Brown,https://www.ally.com,10019
41,Alpha Metallurgical Resources,Energy,Bristol,TN,David J. Stetson,https://www.alphametresources.com,95014
42,Alphabet,Technology,Mountain View,CA,Sundar Pichai,https://www.abc.xyz,95054
43,Altice USA,Telecommunications,Long Island City,NY,Dennis Mathew,https://www.alticeusa.com,19103
44,Altria Group,"Food, Beverages & Tobacco",Richmond,VA,William F. Gifford Jr.,https://www.altria.com,60601
45,A-Mark Precious Metals,Wholesalers,El Segundo,CA,Gregory N. Roberts,https://www.amark.com,15212
46,Amazon,Retailing,Seattle,WA,Andrew R. Jassy,www.amazon.com,23227
47,AMC Entertainment Holdings,Media,Leawood,KS,Adam M. Aron,https://www.amctheatres.com,80112
48,AMC Networks,Media,New York,NY,Christina Spade,https://www.amcnetworks.com,60008
49,Amedisys,Health Care,Baton Rouge,LA,Christopher T. Gerard,https://www.amedisys.com,30097
50,Amerco,Transportation,Reno,NV,Edward J. Shoen,https://www.amerco.com,10006
